uid,site_id,date_col,visit_no,state,analyte,result,source
2010177,NLA17_NV-10018,30-May-17,1,NV,ntl,1.343,NLA 2017
2010177,NLA17_NV-10018,30-May-17,1,NV,turb,3.16,NLA 2017
2010177,NLA17_NV-10018,30-May-17,1,NV,ptl,92.325,NLA 2017
2010178,NLA17_NV-10036,31-May-17,1,NV,ptl,234.695,NLA 2017
2010178,NLA17_NV-10036,31-May-17,1,NV,ntl,0.9,NLA 2017
2010178,NLA17_NV-10036,31-May-17,1,NV,turb,2.72,NLA 2017
2010179,NLA17_ND-10011,1-Jun-17,1,ND,ntl,2.75,NLA 2017
2010179,NLA17_ND-10011,1-Jun-17,1,ND,turb,2.68,NLA 2017
2010179,NLA17_ND-10011,1-Jun-17,1,ND,ptl,63.3475,NLA 2017
2010180,NLA17_NV-10242,1-Jun-17,1,NV,turb,0.68,NLA 2017
2010180,NLA17_NV-10242,1-Jun-17,1,NV,ptl,700.47,NLA 2017
2010180,NLA17_NV-10242,1-Jun-17,1,NV,ntl,2.323,NLA 2017
2010181,NLA17_OH-10016,1-Jun-17,1,OH,ntl,1.735,NLA 2017
2010181,NLA17_OH-10016,1-Jun-17,1,OH,ptl,170.41125,NLA 2017
2010181,NLA17_OH-10016,1-Jun-17,1,OH,turb,10.57,NLA 2017
2010182,NLA17_TN-10003,2-Jun-17,1,TN,ntl,1.278,NLA 2017
2010182,NLA17_TN-10003,2-Jun-17,1,TN,turb,19.97,NLA 2017
2010182,NLA17_TN-10003,2-Jun-17,1,TN,ptl,463.12625,NLA 2017
2010183,NLA17_AZ-10004,1-Jun-17,1,AZ,turb,0.73,NLA 2017
2010183,NLA17_AZ-10004,1-Jun-17,1,AZ,ntl,0.615,NLA 2017
2010183,NLA17_AZ-10004,1-Jun-17,1,AZ,ptl,192.115,NLA 2017
2010184,NLA17_MI-10011,5-Jun-17,1,MI,turb,1.05,NLA 2017
2010184,NLA17_MI-10011,5-Jun-17,1,MI,ptl,12.9225,NLA 2017
2010184,NLA17_MI-10011,5-Jun-17,1,MI,ntl,0.52,NLA 2017
2010185,NLA17_ND-10015,5-Jun-17,1,ND,turb,5.71,NLA 2017
2010185,NLA17_ND-10015,5-Jun-17,1,ND,ptl,49.725,NLA 2017
2010185,NLA17_ND-10015,5-Jun-17,1,ND,ntl,1.866,NLA 2017
2010186,NLA17_CA-10064,5-Jun-17,1,CA,ntl,0.701,NLA 2017
2010186,NLA17_CA-10064,5-Jun-17,1,CA,turb,6.95,NLA 2017
2010186,NLA17_CA-10064,5-Jun-17,1,CA,ptl,362.0075,NLA 2017
2010187,NLA17_KY-10001,6-Jun-17,1,KY,turb,2.57,NLA 2017
2010187,NLA17_KY-10001,6-Jun-17,1,KY,ptl,5.91625,NLA 2017
2010187,NLA17_KY-10001,6-Jun-17,1,KY,ntl,0.121,NLA 2017
2010188,NLA17_ND-10008,6-Jun-17,1,ND,turb,16.82,NLA 2017
2010188,NLA17_ND-10008,6-Jun-17,1,ND,ptl,207.63875,NLA 2017
2010188,NLA17_ND-10008,6-Jun-17,1,ND,ntl,3.174,NLA 2017
2010189,NLA17_TX-10001,6-Jun-17,1,TX,ptl,134.5625,NLA 2017
2010189,NLA17_TX-10001,6-Jun-17,1,TX,ntl,1.074,NLA 2017
2010189,NLA17_TX-10001,6-Jun-17,1,TX,turb,41.28,NLA 2017
2010190,NLA17_KS-10005,6-Jun-17,1,KS,turb,10.17,NLA 2017
2010190,NLA17_KS-10005,6-Jun-17,1,KS,ntl,0.959,NLA 2017
2010190,NLA17_KS-10005,6-Jun-17,1,KS,ptl,66.83625,NLA 2017
2010191,NLA17_NV-10002,6-Jun-17,1,NV,turb,0.48,NLA 2017
2010191,NLA17_NV-10002,6-Jun-17,1,NV,ptl,17.75,NLA 2017
2010191,NLA17_NV-10002,6-Jun-17,1,NV,ntl,0.61,NLA 2017
2010192,NLA17_NV-10006,5-Jun-17,1,NV,turb,2.51,NLA 2017
2010192,NLA17_NV-10006,5-Jun-17,1,NV,ptl,21.74875,NLA 2017
2010192,NLA17_NV-10006,5-Jun-17,1,NV,ntl,0.165,NLA 2017
